2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | combined_popularity_score returning 16.41 (weighted average)
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity_log called with value=105555, min_val=10000, max_val=15000000
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 32.22 (normalized log scale) raw value: 105555
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity called with value=1, min_val=0, max_val=31
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 3.23
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=32.22, jellyfin=3.23, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | combined_popularity_score returning 11.93 (weighted average)
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity_log called with value=184407, min_val=10000, max_val=15000000
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 39.85 (normalized log scale) raw value: 184407
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity called with value=6, min_val=0, max_val=31
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 19.35
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=39.85, jellyfin=19.35, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | combined_popularity_score returning 25.5 (weighted average)
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity_log called with value=103640, min_val=10000, max_val=15000000
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 31.97 (normalized log scale) raw value: 103640
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=31.97, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,533 |  WARNING | playlist-pilot | combined_popularity_score returning 31.97 (fallback to lastfm)
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity_log called with value=350144, min_val=10000, max_val=15000000
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 48.62 (normalized log scale) raw value: 350144
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=48.62, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,534 |  WARNING | playlist-pilot | combined_popularity_score returning 48.62 (fallback to lastfm)
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity_log called with value=1170280, min_val=10000, max_val=15000000
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 65.12 (normalized log scale) raw value: 1170280
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity called with value=7, min_val=0, max_val=31
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 22.58
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=65.12, jellyfin=22.58, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | combined_popularity_score returning 35.34 (weighted average)
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity_log called with value=39268, min_val=10000, max_val=15000000
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 18.7 (normalized log scale) raw value: 39268
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity called with value=3, min_val=0, max_val=31
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 9.68
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=18.7, jellyfin=9.68, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | combined_popularity_score returning 12.39 (weighted average)
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity_log called with value=639121, min_val=10000, max_val=15000000
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 56.85 (normalized log scale) raw value: 639121
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity called with value=2, min_val=0, max_val=31
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 6.45
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=56.85, jellyfin=6.45, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | combined_popularity_score returning 21.57 (weighted average)
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity_log called with value=1911823, min_val=10000, max_val=15000000
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 71.83 (normalized log scale) raw value: 1911823
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity called with value=11, min_val=0, max_val=31
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 35.48
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=71.83, jellyfin=35.48, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | combined_popularity_score returning 46.38 (weighted average)
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity_log called with value=214309, min_val=10000, max_val=15000000
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 41.91 (normalized log scale) raw value: 214309
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity called with value=1, min_val=0, max_val=31
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 3.23
2025-07-14 13:52:06,534 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=41.91, jellyfin=3.23, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,534 |    DEBUG | playlist-pilot | combined_popularity_score returning 14.83 (weighted average)
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity_log called with value=925478, min_val=10000, max_val=15000000
2025-07-14 13:52:06,535 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 61.91 (normalized log scale) raw value: 925478
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=61.91, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,535 |  WARNING | playlist-pilot | combined_popularity_score returning 61.91 (fallback to lastfm)
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity_log called with value=90734, min_val=10000, max_val=15000000
2025-07-14 13:52:06,535 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 30.16 (normalized log scale) raw value: 90734
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity called with value=2, min_val=0, max_val=31
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 6.45
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=30.16, jellyfin=6.45, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,535 |    DEBUG | playlist-pilot | combined_popularity_score returning 13.56 (weighted average)
